test_case,action,scope,snapshot_kind,step,parent_step,layer,duration_ms,pct_of_total,samples,measured_by,scales_with,notes
main-guest2048,suspend,data,latest,snapshot,ateom_checkpoint,cloud-hypervisor,0.0,0.0,10,ateom_log:Actor checkpointed,guest_touched_pages,
main-guest2048,suspend,data,latest,durable_dir,ateom_checkpoint,ateom,6.0,6.7,10,ateom_log:Actor checkpointed,durable_volume_bytes,
main-guest2048,suspend,data,latest,teardown,ateom_checkpoint,ateom,74.0,82.3,10,ateom_log:Actor checkpointed,nothing,
main-guest2048,suspend,data,latest,ch_api_shutdown,teardown,cloud-hypervisor,48.8,54.3,10,ateom_log:Actor checkpointed,nothing,
main-guest2048,suspend,data,latest,atelet_other,total,atelet,0.7,0.7,10,derived,-,total minus ateom_checkpoint and persist
main-guest2048,suspend,data,latest,ateom_other,ateom_checkpoint,ateom,1.2,1.3,10,derived,-,gRPC + WaitReady + checkpoint dir setup
main-guest2048,suspend,data,latest,teardown_other,teardown,ateom,25.2,28.0,10,derived,-,kill CH + kill virtiofsd + unmount + sweep
main-guest896,resume,data_on_golden,latest,total,-,atelet,304.2,100.0,10,prometheus:ate_actor_restore_duration_seconds,-,
main-guest896,resume,data_on_golden,latest,ateom_restore,total,ateom,157.8,51.9,10,prometheus:ate_actor_restore_duration_seconds,nothing,
main-guest896,resume,data_on_golden,latest,download,total,atelet,138.5,45.5,10,prometheus:ate_actor_restore_duration_seconds,snapshot_bytes,
main-guest896,resume,data_on_golden,latest,manifest_fetch,total,atelet,2.9,1.0,10,prometheus:ate_actor_restore_duration_seconds,nothing,
main-guest896,resume,data_on_golden,latest,oci_unpack,total,atelet,0.3,0.1,10,prometheus:ate_actor_restore_duration_seconds,image_bytes,
main-guest896,resume,data_on_golden,latest,sandbox_assets,total,atelet,0.1,0.0,10,prometheus:ate_actor_restore_duration_seconds,nothing,
main-guest896,resume,data_on_golden,latest,volume_mount,total,atelet,0.0,0.0,10,prometheus:ate_actor_restore_duration_seconds,nothing,
main-guest896,suspend,data,latest,total,-,atelet,80.0,100.0,10,prometheus:ate_actor_checkpoint_duration_seconds,-,
main-guest896,suspend,data,latest,ateom_checkpoint,total,ateom,73.8,92.2,10,prometheus:ate_actor_checkpoint_duration_seconds,-,
main-guest896,suspend,data,latest,persist,total,atelet,5.6,6.9,10,prometheus:ate_actor_checkpoint_duration_seconds,snapshot_bytes,
main-guest896,suspend,data,latest,sandbox_assets,total,atelet,0.0,0.1,10,prometheus:ate_actor_checkpoint_duration_seconds,nothing,
main-guest896,suspend,data,latest,pause,ateom_checkpoint,ateom,2.3,2.8,11,ateom_log:Actor checkpointed,-,
main-guest896,suspend,data,latest,snapshot,ateom_checkpoint,cloud-hypervisor,0.0,0.0,11,ateom_log:Actor checkpointed,guest_touched_pages,
main-guest896,suspend,data,latest,durable_dir,ateom_checkpoint,ateom,5.5,6.9,11,ateom_log:Actor checkpointed,durable_volume_bytes,
main-guest896,suspend,data,latest,teardown,ateom_checkpoint,ateom,66.5,83.1,11,ateom_log:Actor checkpointed,nothing,
main-guest896,suspend,data,latest,ch_api_shutdown,teardown,cloud-hypervisor,47.8,59.8,12,ateom_log:Actor checkpointed,nothing,
main-guest896,suspend,data,latest,atelet_other,total,atelet,0.7,0.8,10,derived,-,total minus ateom_checkpoint and persist
main-guest896,suspend,data,latest,ateom_other,ateom_checkpoint,ateom,-0.5,-0.6,10,derived,-,gRPC + WaitReady + checkpoint dir setup
main-guest896,suspend,data,latest,teardown_other,teardown,ateom,18.7,23.3,11,derived,-,kill CH + kill virtiofsd + unmount + sweep
